file,text
/notebooks/audiorecords/audio1.wav,What is the weather like in Belgrade
/notebooks/audiorecords/audio2.wav,What is the weather like in Belgrade
/notebooks/audiorecords/audio3.wav,What is the weather like in Belgrade
/notebooks/audiorecords/audio4.wav,What is the weather like in Belgrade
/notebooks/audiorecords/audio5.wav,What is the weather like in Belgrade
/notebooks/audiorecords/audio6.wav,What is the weather like in Madrid
/notebooks/audiorecords/audio40.wav,What is the weather like in Madrid
/notebooks/audiorecords/audio41.wav,What is the weather like in Madrid
/notebooks/audiorecords/audio42.wav,What is the weather like in Madrid
/notebooks/audiorecords/audio43.wav,What is the weather like in Madrid
/notebooks/audiorecords/audio44.wav,What is the weather like in Madrid
/notebooks/audiorecords/audio7.wav,What is the weather like in Barcelona
/notebooks/audiorecords/audio52.wav,What is the weather like in Barcelona
/notebooks/audiorecords/audio53.wav,What is the weather like in Barcelona
/notebooks/audiorecords/audio54.wav,What is the weather like in Barcelona
/notebooks/audiorecords/audio55.wav,What is the weather like in Barcelona
/notebooks/audiorecords/audio56.wav,What is the weather like in Barcelona
/notebooks/audiorecords/audio57.wav,What is the weather like in Barcelona
/notebooks/audiorecords/audio8.wav,What is the weather like in Lisbon
/notebooks/audiorecords/audio36.wav,What is the weather like in Lisbon
/notebooks/audiorecords/audio37.wav,What is the weather like in Lisbon
/notebooks/audiorecords/audio38.wav,What is the weather like in Lisbon
/notebooks/audiorecords/audio39.wav,What is the weather like in Lisbon
/notebooks/audiorecords/audio9.wav,What does it mean today is a nice day
/notebooks/audiorecords/audio10.wav,What does it mean today is a nice day
/notebooks/audiorecords/audio58.wav,What does it mean
/notebooks/audiorecords/audio59.wav,What does it mean
/notebooks/audiorecords/audio60.wav,What does it mean
/notebooks/audiorecords/audio61.wav,What does it mean
/notebooks/audiorecords/audio62.wav,What does it mean
/notebooks/audiorecords/audio63.wav,What does it mean
/notebooks/audiorecords/audio64.wav,What does it mean
/notebooks/audiorecords/audio65.wav,What does it mean
/notebooks/audiorecords/audio66.wav,What does it mean
/notebooks/audiorecords/audio67.wav,What does it mean
/notebooks/audiorecords/audio68.wav,What does it mean
/notebooks/audiorecords/audio69.wav,What does it mean
/notebooks/audiorecords/audio70.wav,What does it mean
/notebooks/audiorecords/audio11.wav,What time is it
/notebooks/audiorecords/audio12.wav,What time is it
/notebooks/audiorecords/audio14.wav,What time is it
/notebooks/audiorecords/audio18.wav,What time is it
/notebooks/audiorecords/audio19.wav,What time is it
/notebooks/audiorecords/audio15.wav,what's the time
/notebooks/audiorecords/audio16.wav,what's the time
/notebooks/audiorecords/audio17.wav,what's the time
/notebooks/audiorecords/audio20.wav,what's the time
/notebooks/audiorecords/audio21.wav,what's the time
/notebooks/audiorecords/audio22.wav,How much is bitcoin worth
/notebooks/audiorecords/audio23.wav,How much is bitcoin worth
/notebooks/audiorecords/audio24.wav,How much is bitcoin worth
/notebooks/audiorecords/audio25.wav,How much is bitcoin worth
/notebooks/audiorecords/audio26.wav,How much is bitcoin worth
/notebooks/audiorecords/audio27.wav,How much is bitcoin worth
/notebooks/audiorecords/audio28.wav,How much is ethereum worth
/notebooks/audiorecords/audio29.wav,How much is ethereum worth
/notebooks/audiorecords/audio30.wav,How much is ethereum worth
/notebooks/audiorecords/audio31.wav,How much is ethereum worth
/notebooks/audiorecords/audio32.wav,How much is ethereum worth
/notebooks/audiorecords/audio33.wav,How much is ethereum worth
/notebooks/audiorecords/audio34.wav,How much is ethereum worth
/notebooks/audiorecords/audio35.wav,How much is ethereum worth
/notebooks/audiorecords/audio45.wav,How much is monero worth
/notebooks/audiorecords/audio46.wav,How much is monero worth
/notebooks/audiorecords/audio47.wav,How much is monero worth
/notebooks/audiorecords/audio48.wav,How much is monero worth
/notebooks/audiorecords/audio49.wav,How much is monero worth
/notebooks/audiorecords/audio50.wav,How much is monero worth
/notebooks/audiorecords/audio51.wav,How much is monero worth
/notebooks/audiorecords/audio71.wav,tell me a joke
/notebooks/audiorecords/audio72.wav,tell me a joke
/notebooks/audiorecords/audio73.wav,tell me a joke
/notebooks/audiorecords/audio74.wav,tell me a joke
/notebooks/audiorecords/audio75.wav,tell me a joke
/notebooks/audiorecords/audio76.wav,tell me a joke
/notebooks/audiorecords/audio77.wav,tell me a joke
/notebooks/audiorecords/audio78.wav,tell me a joke
/notebooks/audiorecords/audio79.wav,tell me a joke
/notebooks/audiorecords/audio80.wav,flights to los angeles
/notebooks/audiorecords/audio81.wav,flights to los angeles
/notebooks/audiorecords/audio82.wav,flights to los angeles
/notebooks/audiorecords/audio83.wav,flights to los angeles
/notebooks/audiorecords/audio84.wav,flights to los angeles
/notebooks/audiorecords/audio85.wav,flights to belgrade
/notebooks/audiorecords/audio86.wav,flights to belgrade
/notebooks/audiorecords/audio87.wav,flights to belgrade
/notebooks/audiorecords/audio88.wav,flights to belgrade
/notebooks/audiorecords/audio89.wav,flights to belgrade
/notebooks/audiorecords/audio90.wav,flights to london
/notebooks/audiorecords/audio91.wav,flights to london
/notebooks/audiorecords/audio92.wav,flights to london
/notebooks/audiorecords/audio93.wav,flights to london
/notebooks/audiorecords/audio94.wav,flights to london
/notebooks/audiorecords/audio95.wav,flights to london
/notebooks/audiorecords/audio96.wav,flights to london
